Total Value,Parcel ID,Map Number,Property   Location ,Township ,Land Use,Property Class,Land Area (acreage),Neighborhood Code,Zoning,Legal Desc,Utilities1,Utilities2,Utilities3
"$11,210",02.15.1.1-117,02632002764216,17 CHERRY TREE LN,Chestnuthill,141-Mobile Homes/Parks,9-Taxable,.17,02R08,R-S,C 13,6-Septic,2-PUBLIC WATER,8-Electric
"$6,680",02.15.1.1-119,02632002766309,8 APPLETREE LN,Chestnuthill,911-Undevelped Land,9-Taxable,.08,02R08,R-S,B 8,-,-,8-Electric
"$10,420",02.15.1.1-14,02632002767434,APPLETREE LN,Chestnuthill,911-Undevelped Land,9-Taxable,.17,02R08,R-S,LOTS 2 4,-,-,8-Electric
"$6,680",02.15.1.1-15,02632002766451,APPLETREE LN,Chestnuthill,911-Undevelped Land,9-Taxable,.08,02R08,R-S,LOT B6 SEC TR1,-,-,8-Electric
"$6,680",02.15.1.1-20,02632002765381,CHERRY TREE LN,Chestnuthill,911-Undevelped Land,9-Taxable,.08,02R08,R-S,C9,-,-,8-Electric
"$10,420",02.15.1.1-23,02632002765199,CHERRY LN,Chestnuthill,911-Undevelped Land,9-Taxable,.17,02R08,R-S,"C10,C12",-,-,8-Electric
"$11,760",02.15.1.1-70,02632002764175,18 CHERRY TREE LN,Chestnuthill,911-Undevelped Land,9-Taxable,.25,02R08,R-S,LOT C14 TR1,-,-,8-Electric
"$10,420",02.15.1.1-73,02632002765170,DOGWOOD LN,Chestnuthill,115-Residential OBYs,9-Taxable,.17,02R08,R-S,LOT D11 SEC TRI,6-Septic,2-PUBLIC WATER,8-Electric
"$5,710",02.15.1.1-92,02632002757191,MEADOW LARK LN,Chestnuthill,911-Undevelped Land,9-Taxable,.23,02R08,R-S,TR 3 L 12,-,-,8-Electric
"$5,710",02.15.1.1-99,02632002758022,PIPIT LN,Chestnuthill,913-Developments,9-Taxable,.23,02R08,R-S,TR 3 L 14,-,-,8-Electric
"$10,840",02.15.1.14,02632002768732,T 628,Chestnuthill,911-Undevelped Land,9-Taxable,.52,02R08,R-S,LOT 2 BLK L,-,-,8-Electric
"$12,730",02.15.1.14-3,02632002860739,CAMERON RD,Chestnuthill,911-Undevelped Land,9-Taxable,.82,02R08,R-S,"100X120,200X120",-,-,8-Electric
"$13,860",02.15.1.36,02632002862011,ELM RD,Chestnuthill,911-Undevelped Land,9-Taxable,.45,02R08,R-S,LOT 6 BLK J,-,-,8-Electric
"$13,860",02.15.1.38,02632002863256,FIR RD,Chestnuthill,911-Undevelped Land,9-Taxable,.45,02R08,R-S,LOT 9 BLK J,-,-,8-Electric
"$12,940",02.15.1.8-1,02632002871123,CAMERON RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 3 BLK O,-,-,8-Electric
"$6,470",02.15.2.1-11,02632002879490,CAMERON RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 11 BLK W,-,-,8-Electric
"$8,690",02.15.2.1-2,02632002873432,BURRWOOD DR,Chestnuthill,115-Residential OBYs,9-Taxable,.87,02R08,R-S,"LOTS 3,4 BLK W",-,-,8-Electric
"$12,940",02.15.2.21,02633001050862,ROBERTS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 224 SEC 200,8-Electric,-,-
"$12,940",02.15.2.23-10,02632002959778,ROBERTS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 222 BLK 200,-,-,8-Electric
"$12,940",02.15.2.24,02632002955999,SILVER MAPLE RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 232 SEC 200,-,-,8-Electric
"$12,940",02.15.2.27,02632002968232,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 239,-,-,8-Electric
"$12,940",02.15.2.31-7,02632002966429,JOHNS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 254,-,-,8-Electric
"$12,940",02.15.2.36-9,02632002968992,DAVIDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 282,-,-,8-Electric
"$12,940",02.15.2.40-104,02633003249548,BARWICK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 723C,8-Electric,-,-
"$12,940",02.15.2.40-11,02633001079038,DAVIDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 642 BLK 600,8-Electric,-,-
"$12,940",02.15.2.40-118,02633001262428,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 935,8-Electric,-,-
"$12,940",02.15.2.40-121,02633001255763,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 951,8-Electric,-,-
"$13,690",02.15.2.40-131,02633001073601,GORDON RD,Chestnuthill,911-Undevelped Land,9-Taxable,.43,02R08,R-S,LOT 635C,8-Electric,-,-
"$12,940",02.15.2.40-134,02633001079583,ALLEN RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,LOT 683,8-Electric,-,-
"$12,940",02.15.2.40-138,02633001173479,ALLEN RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,LOT 687,8-Electric,-,-
"$12,940",02.15.2.40-139,02633001174478,ALLEN RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,LOT 688,8-Electric,-,-
"$12,940",02.15.2.40-149,02633001178282,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 919,8-Electric,-,-
"$12,940",02.15.2.40-155,02633001262369,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 937,8-Electric,-,-
"$12,940",02.15.2.40-157,02633001263240,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 941,6-Septic,5-WELL,8-Electric
"$12,940",02.15.2.40-163,02633001258108,VALLEY RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,LOT 963,8-Electric,-,-
"$12,940",02.15.2.40-166,02633003249943,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,"LOT 969 INC 40 165,40 1",8-Electric,-,-
"$13,270",02.15.2.40-167,02633003249893,VALLEY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.38,02R08,R-S,"LOT 971 INC 40 165,40 1",8-Electric,-,-
"$12,940",02.15.2.40-25,02633001160889,JOHNS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 619,8-Electric,-,-
"$12,940",02.15.2.40-3,02633001064779,JOHNS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 606,8-Electric,-,-
"$12,940",02.15.2.40-57,02633001175145,RANGER RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S, ,8-Electric,-,-
"$15,790",02.15.2.40-9,02633001171085,DAVIDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.68,02R08,R-S,"LOTS 644,645",8-Electric,-,-
"$15,790",02.15.2.46-5,02633001063674,JOHNS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.68,02R08,R-S,"LOTS 361,363",8-Electric,-,-
"$12,940",02.15.2.48,02633001161293,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 353,8-Electric,-,-
"$12,940",02.15.2.48-11,02633001065184,MAPLE RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 340,8-Electric,-,-
"$12,940",02.15.2.48-16,02633001067297,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 345,8-Electric,-,-
"$12,940",02.15.2.48-18,02633001160088,MAPLE RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 350,8-Electric,-,-
"$12,940",02.15.2.48-8,02633001068296,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 347 BLK 300,8-Electric,-,-
"$13,860",02.15.2.51,02633001062365,BARRYS RD3,Chestnuthill,911-Undevelped Land,9-Taxable,.45,02R08,R-S,LOT 335 SEC 300,8-Electric,-,-
"$12,940",02.15.2.53-7,02633001057965,MAPLE RD 0,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 325,8-Electric,-,-
"$12,940",02.15.2.55,02633001054646,ROBERTS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 304,8-Electric,-,-
"$12,940",02.15.2.55-6,02633001055520,WILLIAMS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 305,8-Electric,-,-
"$6,800",02.15.2.61-14,02633003143164,WILLIAMS RD,Chestnuthill,913-Developments,9-Taxable,.42,02R08,R-S,L 6 BLK V,8-Electric,-,-
"$7,350",02.15.2.61-15,02633003144052,WILLIAMS RD,Chestnuthill,913-Developments,9-Taxable,.55,02R08,R-S,L 7 BLK V,8-Electric,-,-
"$9,490",02.15.2.61-16,02633003049590,*UNASSIGNED,Chestnuthill,913-Developments,9-Taxable,1.06,02R08,R-S,L 8 BLK V,8-Electric,-,-
"$7,100",02.15.2.61-17,02633003140463,EASTBROOK RD,Chestnuthill,913-Developments,9-Taxable,.49,02R08,R-S,L 9 BLK V,8-Electric,-,-
"$12,940",02.15.2.61-21,02633003047899,JUNIPER RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,L T 1,8-Electric,-,-
"$6,380",02.15.2.61-23,02633003047620,LAKESIDE RD,Chestnuthill,913-Developments,9-Taxable,.32,02R08,R-S,L T 6,8-Electric,-,-
"$6,470",02.15.2.61-24,02633003046624,LAKESIDE RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,L T 7,8-Electric,-,-
"$6,470",02.15.2.61-25,02633003045647,LAKESIDE RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,L T 8,8-Electric,-,-
"$6,470",02.15.2.61-26,02633003044740,LAKESIDE RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,L T 9,8-Electric,-,-
"$14,620",02.15.2.61-3,02633001057310,1619 BLUEGRASS LN,Chestnuthill,911-Undevelped Land,9-Taxable,.54,02R08,R-S,LOT 309A BLK 300,8-Electric,-,-
"$6,720",02.15.2.61-5,02633003141570,WILLIAMS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.40,02R08,R-S,LOT 2 BLK V,8-Electric,-,-
"$6,550",02.15.2.65-1,02633003242152,BARWICK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.36,02R08,R-S,LOT 729,8-Electric,-,-
"$6,470",02.15.2.65-11,02633001154202,ROBERTS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 508,8-Electric,-,-
"$9,830",02.15.2.65-3,02633003244222,BARWICK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.36,02R08,R-S,LOT 727,8-Electric,-,-
"$6,510",02.15.2.65-35,02633003147105,ROBERTS RD,Chestnuthill,913-Developments,9-Taxable,.35,02R08,R-S,LOT 583,8-Electric,-,-
"$6,510",02.15.2.65-36,02633003147046,ROBERTS RD,Chestnuthill,913-Developments,9-Taxable,.35,02R08,R-S,LOT 584,8-Electric,-,-
"$6,550",02.15.2.65-4,02633003243137,BARWICK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.36,02R08,R-S,LOT 728,8-Electric,-,-
"$7,900",02.15.2.65-6,02633001151023,WILLIAMS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.68,02R08,R-S,"LOTS 500,501",8-Electric,-,-
"$6,380",02.15.2.65-60,02633003240300,MAPLE RD,Chestnuthill,913-Developments,9-Taxable,.32,02R08,R-S,LOT 568,8-Electric,-,-
"$13,360",02.15.2.66-1,02633001151780,504 JAMES RD,Chestnuthill,911-Undevelped Land,9-Taxable,.39,02R08,R-S,LOT 408,8-Electric,-,-
"$12,940",02.15.2.66-2,02633001152620,ROBERTS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 411,8-Electric,-,-
"$12,940",02.15.2.66-3,02633001152570,ROBERTS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 413,8-Electric,-,-
"$12,940",02.15.2.67,02633001155723,MAPLE RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 426,8-Electric,-,-
"$12,940",02.15.2.67-10,02633001157571,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 433,8-Electric,-,-
"$15,790",02.15.2.67-7,02633001155968,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.68,02R08,R-S,L 423 BLK 400,8-Electric,-,-
"$12,940",02.15.2.67-8,02633001156808,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 425,8-Electric,-,-
"$12,940",02.15.2.68-4,02633001159163,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 526,8-Electric,-,-
"$12,940",02.15.2.68-5,02633001250004,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 528,8-Electric,-,-
"$12,850",02.15.2.70-10,02633001167406,JOHNS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.33,02R08,R-S,LOT 435,8-Electric,-,-
"$12,940",02.15.2.70-7,02633001157965,DONALDS RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 443,8-Electric,-,-
"$6,680",02.15.3.18,02632004935526,PINE RD,Chestnuthill,911-Undevelped Land,9-Taxable,.39,02R08,R-S,LOT 4A BLK B,8-Electric,-,-
"$12,940",02.15.3.22,02632004933702,BIRCH RD,Chestnuthill,911-Undevelped Land,9-Taxable,.34,02R08,R-S,LOT 12 BLK A,8-Electric,-,-
"$13,940",02.15.3.31,02632004945344,1208 LAKESIDE DR,Chestnuthill,911-Undevelped Land,9-Taxable,.46,02R08,R-S,LOT 7 BLK D,6-Septic,5-WELL,8-Electric
"$15,200",02.15.3.37-1,02632004943747,WESTBROOK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.61,02R08,R-S,LOT 18 BLK E,8-Electric,-,-
"$13,860",02.15.3.56,02632002854280,BAYBERRY RD,Chestnuthill,911-Undevelped Land,9-Taxable,.45,02R08,R-S,LOT 6 BLK G,-,-,8-Electric
"$13,440",02.15.3.61,02632002859483,EASTBROOK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.40,02R08,R-S,LOT 17 BLK G,-,-,8-Electric
"$11,260",02.15.3.63,02632002857409,SILVER MAPLE RD,Chestnuthill,911-Undevelped Land,9-Taxable,.22,02R08,R-S,LOT 11 BLK G,-,-,8-Electric
"$16,630",02.15.3.74,02632004949320,WESTBROOK RD,Chestnuthill,911-Undevelped Land,9-Taxable,.78,02R08,R-S,LOT 1 BLK R,8-Electric,-,-
"$5,120",02.15.3.82-7,02633003043534,EASTBROOK RD,Chestnuthill,913-Developments,9-Taxable,.16,02R08,R-S,LOT 10A BLK P,8-Electric,-,-
"$6,470",02.15.3.82-8,02633003042537,EASTBROOK RD,Chestnuthill,913-Developments,9-Taxable,.34,02R08,R-S,LOT 8A BLK P,8-Electric,-,-
"$31,080",02.17B.2.33,02632002696075,391 INDIAN MT LAKES,Chestnuthill,913-Developments,9-Taxable,1.18,02R07,R-1,LOT 5710 SEC UU2,-,-,8-Electric
"$11,650",02.1B.1.22,02626801374698,GLEN LN NORTH,Chestnuthill,911-Undevelped Land,9-Taxable,.44,02R10,R-1,LOT 16 SEC II,8-Electric,-,-
"$22,470",02.2.4.14,02625702696924,OVERLOOK DR,Chestnuthill,911-Undevelped Land,9-Taxable,1.35,02R10,R-1,LOT 6 FOXCROFT I,8-Electric,-,-
"$20,780",02.4.3.1,02625802664074,LR 45082,Chestnuthill,911-Undevelped Land,9-Taxable,.14,02R10,R-1,FUTURE DRIVE EXTENTION,6-Septic,5-WELL,8-Electric
"$19,500",02.5A.1.13,02635003411677,T 455,Chestnuthill,911-Undevelped Land,9-Taxable,.45,02R06,R-1,LOT 316 SEC C,8-Electric,-,-
"$20,160",02.6B.1.24,02634001087185,*UNASSIGNED,Chestnuthill,913-Developments,9-Taxable,.18,02R07,R-1,SEC 5,8-Electric,-,-
"$2,520",02.6B.1.38,02634001196712,PRAIRIE DR,Chestnuthill,912-Non-Perk,9-Taxable,1.03,02R11,R-1,LOT 69 SEC 5,-,-,8-Electric
"$25,200",02.94533,02635000215297,SHERWOOD FOREST DR,Chestnuthill,911-Undevelped Land,9-Taxable,1.04,02R06,R-1, ,8-Electric,-,-
"$4,170",02.9A.1.20,02624802790794,COUNTRYSIDE DR,Chestnuthill,912-Non-Perk,9-Taxable,.98,02R14,RR,LOT 33 SEC 1,8-Electric,-,-
"$6,070",03.113095.27T,03635601190800T27,4110 WHITE ROCK LN,Coolbaugh,141-Mobile Homes/Parks,9-Taxable, ,03C06TP, ,LOT 9,3-Public Sewer,2-PUBLIC WATER,8-Electric
"$3,180",03.113536.16T,03635601190800T16,4113 WHITE ROCK LN,Coolbaugh,141-Mobile Homes/Parks,9-Taxable, ,03C06TP, ,LOT 16,3-Public Sewer,2-PUBLIC WATER,8-Electric
"$22,840",03.117490,03634604528313,ASH DR,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 408 SEC E,6-Septic,5-WELL,8-Electric
"$22,840",03.117491,03634604529377,ASH DR,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 410 SEC E,6-Septic,5-WELL,8-Electric
"$24,420",03.14A.1.52,03634502557356,STILLWATER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R10,R-3,LOT 310 SEC A,8-Electric,-,-
"$25,210",03.14B.1.14,03634502665984,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.51,03R10,R-3,LOT 503,8-Electric,-,-
"$25,210",03.14B.1.23,03634502780107,FAIRVIEW TE,Coolbaugh,911-Undevelped Land,9-Taxable,.51,03R10,R-3,LOT 412,8-Electric,-,-
"$24,420",03.14B.1.26,03634502677397,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R10,R-3,LOT 403,8-Electric,-,-
"$24,680",03.14B.1.42,03634502664970,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.47,03R10,R-3,LOT 502,8-Electric,-,-
"$23,500",03.14B.1.45,03634502663970,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.38,03R10,R-3,LOT 501,8-Electric,-,-
"$27,060",03.14B.1.48,03634502676081,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.65,03R10,R-3,LOT 504,8-Electric,-,-
"$4,050",03.14B.1.58,03634502685622,HAWKEY LN,Coolbaugh,912-Non-Perk,9-Taxable,.44,03R10,R-3,LOT 331,8-Electric,-,-
"$24,420",03.14B.1.64,03634502677156,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R10,R-3,LOT 401,8-Electric,-,-
"$23,360",03.14B.1.70,03634502684347,BOBCAT TR,Coolbaugh,911-Undevelped Land,9-Taxable,.37,03R10,R-3,LOT 327,8-Electric,-,-
"$24,420",03.14B.1.76,03634502688325,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R10,R-3,LOT 605,8-Electric,-,-
"$26,020",03.14B.1.90,03634502689481,FAIRVIEW TE,Coolbaugh,911-Undevelped Land,9-Taxable,1.49,03R10,R-3,"LOT 604 SEC D,UNNUMBERED",8-Electric,-,-
"$4,030",03.14B.2.14,03634502682981,NORTH ESTATES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.43,03R10,R-3,LOT 703,8-Electric,-,-
"$23,890",03.14C.1.2,03634504747799,HUMMINGBIRD DR,Coolbaugh,911-Undevelped Land,9-Taxable,.41,03R10,R-3,LOT 1402 SEC C,8-Electric,-,-
"$25,610",03.14C.1.67,03634502857803,3306 UNKNOWN,Coolbaugh,911-Undevelped Land,9-Taxable,.54,03R10,R-3,LOT 1806 SEC C,8-Electric,-,-
"$28,250",03.14C.1.68,03634502856942,3306 UNKNOWN,Coolbaugh,911-Undevelped Land,9-Taxable,.74,03R10,R-3,LOT 1807 SEC C,8-Electric,-,-
"$24,290",03.14C.1.69,03634502854761,RED RUN RD,Coolbaugh,911-Undevelped Land,9-Taxable,.44,03R10,R-3,LOT 1514 SEC C,8-Electric,-,-
"$21,250",03.14C.3.105,03634502965369,THUNDER LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 317 SEC G2,8-Electric,3-PUBLIC SEWER,-
"$20,990",03.14C.3.131,03634502975040,VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 607 SEC G II,8-Electric,3-PUBLIC SEWER,-
"$22,040",03.14C.3.22,03634502977085,LEISURE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R10,R-3,LOT 617 SEC G,8-Electric,3-PUBLIC SEWER,-
"$20,990",03.14C.3.60,03634502950933,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 203 SEC G I,8-Electric,-,-
"$2,200",03.14C.3.67,03634502960209,HEMLOCK DR,Coolbaugh,912-Non-Perk,9-Taxable,.31,03R10,R-3,LOT 213 SEC GI,8-Electric,-,-
"$2,380",03.14C.3.70,03634502867321,SUNSHINE LN,Coolbaugh,912-Non-Perk,9-Taxable,.40,03R10,R-3,LOT 217 SEC GI,8-Electric,-,-
"$21,520",03.14C.3.72,03634502866302,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 218 SEC GI,8-Electric,-,-
"$21,780",03.14C.3.73,03634502865331,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 219 SEC G1,8-Electric,-,-
"$2,130",03.14C.3.74,03634502864341,SUNSHINE LN,Coolbaugh,912-Non-Perk,9-Taxable,.28,03R10,R-3,LOT 220 SEC GI,8-Electric,-,-
"$21,250",03.14C.3.75,03634502863362,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 221 SEC GI,8-Electric,-,-
"$22,310",03.14C.3.76,03634502862386,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R10,R-3,LOT 222 SEC G,8-Electric,-,-
"$21,250",03.14C.3.77,03634502862410,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 223 SEC G I,8-Electric,-,-
"$21,520",03.14C.3.78,03634502861446,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 224 SEC G I,8-Electric,-,-
"$20,720",03.14C.3.79,03634502860592,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R10,R-3,LOT 225 SEC GI,8-Electric,-,-
"$21,520",03.14C.3.80,03634502860640,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 226 SEC GI,8-Electric,-,-
"$21,520",03.14C.3.81,03634502769686,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 227 SEC GI,8-Electric,-,-
